ID;SALIS;MIESTAS;TIKSLAS;DATALAIKAS;RENGINYS;DATA_NUO;DATA_IKI;INFORMACIJA;PATVIRTINTA;VARDAS;PAVARDE;PAREIGOS;ISTAIGA
503;"Jungtinė Karalystė";Londonas;;2009-05-04;"Dalyvauti seminare";2007-01-09;2007-01-13;;1;Natalija;Lauciuvienė;Direktorė;"Lopšelis-darželis „Čiauškutis“"
521;Belgija;Briuselis;Projektas;2009-05-04;"Dalyvauiti renginio „Open Days“ dalyvių susitikime";2007-01-23;2007-01-25;;1;Nijolė;Jovaišienė;"Vyriausiasis specialistas";"Užsienio ryšių skyrius"
561;Švedija;Stokholmas;;2009-05-04;"Dalyvauti programos „Baltmet“ posėdyje";2007-02-07;2007-02-09;;1;Nijolė;Jovaišienė;"Vyriausiasis specialistas";"Užsienio ryšių skyrius"
561;Švedija;Stokholmas;;2009-05-04;"Dalyvauti programos „Baltmet“ posėdyje";2007-02-07;2007-02-09;;1;Justas;Šatrauskas;"Vedėjo pavaduotojas";"Juridinis skyrius"
581;Belgija;Briuselis;;2007-06-06;"Dalyvauti programos „Baltmet“ posėdyje";2007-03-19;2007-03-20;;1;Nijolė;Jovaišienė;"Vyriausiasis specialistas";"Užsienio ryšių skyrius"
601;Belgija;Briuselis;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti projekto „remido“ dalyvių susitikime";2007-04-17;2007-04-19;;1;Loreta;Čiočienė;"Vyriausiasis specialistas";"Tarptautinių projektų poskyris"
601;Belgija;Briuselis;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti projekto „remido“ dalyvių susitikime";2007-04-17;2007-04-19;;1;Klaudija;Vaznelienė;"Poskyrio vedėjas";"Projektų finansų poskyris"
601;Belgija;Briuselis;"Dvišalis bendradarbiavimas";2007-06-06;"Dalyvauti projekto „remido“ dalyvių susitikime";2007-04-17;2007-04-19;;1;Rūta;Matonienė;Vedėjas;"Investicinių projektų skyrius"
621;Belgija;Briuselis;;2009-05-04;"Dalyvauti kultūros sostinių generalinėje asamblėjoje";2007-01-26;2007-01-28;;1;Giedrė;Kabašinskienė;direktorė;"VšĮ  „Vilnius-Europos kultūros  sostinė 2009“"
622;Rumunija;Sibiu;;2009-05-04;"Dalyvauti Europos kultūros miestų komiteto posėdyje";2007-02-08;2007-02-11;;1;Giedrė;Kabašinskienė;Direktorė;"VšĮ  „Vilnius-Europos kultūros  sostinė 2009“"
641;Vokietija;Berlynas;Paroda/Festivalis;2007-06-06;"Dalyvauti turizmo parodoje";2007-03-08;2007-03-11;;1;Giedrė;Kabašinskienė;Direktorė;"VšĮ  „Vilnius-Europos kultūros  sostinė 2009“"
661;Italija;Turinas;Paroda/Festivalis;2007-06-06;"Dalyvauti tarptautinėje  Turino knygų mugėje";2007-05-10;2007-05-13;;1;Giedrė;Kabašinskienė;direktorė;"VšĮ  „Vilnius-Europos kultūros  sostinė 2009“"
